,source,new_dog_rating,dog_counts,rating_numerator,rating_denominator,p1_conf,p2_conf,p3_conf,retweet_count,favorite_count,developmentalStage,dogTypeMax,dogConfsMax
84,Twitter for iPhone,13.0,1.0,13.0,10.0,0.874566,0.0373542,0.016723599999999998,2379.0,18563.0,no-entry,golden_retriever,0.874566
85,Twitter for iPhone,13.0,1.0,13.0,10.0,0.534327,0.346312,0.0949327,4659.0,27634.0,no-entry,Bernese_mountain_dog,0.534327
86,Twitter for iPhone,13.0,1.0,13.0,10.0,0.799551,0.179975,0.0046176,4263.0,24935.0,no-entry,Labrador_retriever,0.799551
87,Twitter for iPhone,13.0,1.0,13.0,10.0,0.245048,0.223716,0.160753,4897.0,21718.0,no-entry,Siberian_husky,0.245048
89,Twitter for iPhone,12.0,1.0,12.0,10.0,0.7143189999999999,0.0919133,0.0460382,4689.0,25224.0,no-entry,West_Highland_white_terrier,0.7143189999999999
90,Twitter for iPhone,12.0,1.0,12.0,10.0,0.836052,0.0470691,0.0360071,4619.0,27578.0,no-entry,Labrador_retriever,0.836052
92,Twitter for iPhone,13.0,1.0,13.0,10.0,0.437216,0.277191,0.157402,4090.0,25826.0,pupper,cocker_spaniel,0.437216
93,Twitter for iPhone,12.0,1.0,12.0,10.0,0.8321770000000001,0.040436900000000005,0.0282283,3939.0,22451.0,no-entry,flat-coated_retriever,0.8321770000000001
94,Twitter for iPhone,13.0,1.0,13.0,10.0,0.806674,0.116622,0.0491819,10389.0,34316.0,puppo,Cardigan,0.806674
98,Twitter for iPhone,12.0,1.0,12.0,10.0,0.6197819999999999,0.338069,0.0126763,1583.0,7183.0,pupper,vizsla,0.6197819999999999
99,Twitter for iPhone,12.0,1.0,12.0,10.0,0.476913,0.174145,0.0928614,5394.0,27160.0,doggo,Labrador_retriever,0.476913
100,Twitter for iPhone,13.0,1.0,13.0,10.0,0.99912,0.00055192,7.28904e-05,3690.0,14605.0,no-entry,pug,0.99912
102,Twitter for iPhone,13.0,1.0,13.0,10.0,0.513191,0.159088,0.149509,3694.0,20635.0,no-entry,cocker_spaniel,0.513191
103,Twitter for iPhone,12.0,1.0,12.0,10.0,0.931861,0.0377212,0.0119667,9001.0,40387.0,no-entry,Pembroke,0.931861
115,Twitter for iPhone,13.0,1.0,13.0,10.0,0.841001,0.0992784,0.0326213,26339.0,82443.0,no-entry,golden_retriever,0.841001
119,Twitter for iPhone,13.0,1.0,13.0,10.0,0.980148,0.0192711,0.00013626,10094.0,42326.0,no-entry,Pembroke,0.980148
122,Twitter for iPhone,13.0,1.0,13.0,10.0,0.664181,0.169234,0.1327,3811.0,20417.0,no-entry,Pembroke,0.664181
125,Twitter for iPhone,13.0,1.0,13.0,10.0,0.868107,0.060973,0.0334889,5843.0,27220.0,no-entry,Labrador_retriever,0.868107
126,Twitter for iPhone,12.0,1.0,12.0,10.0,0.378151,0.275935,0.0949906,2115.0,10151.0,no-entry,whippet,0.378151
127,Twitter for iPhone,12.0,1.0,12.0,10.0,0.522644,0.332461,0.0320081,4217.0,24219.0,no-entry,Labrador_retriever,0.522644
131,Twitter for iPhone,13.0,1.0,13.0,10.0,0.471403,0.302219,0.156606,7962.0,32338.0,no-entry,Samoyed,0.471403
134,Twitter for iPhone,12.0,1.0,12.0,10.0,0.51473,0.30640700000000004,0.0613141,3531.0,19413.0,no-entry,flat-coated_retriever,0.51473
138,Twitter for iPhone,13.0,1.0,13.0,10.0,0.673664,0.157523,0.126073,5698.0,25765.0,no-entry,golden_retriever,0.673664
139,Twitter for iPhone,13.0,1.0,13.0,10.0,0.832435,0.163551,0.00277025,5080.0,26646.0,no-entry,Chesapeake_Bay_retriever,0.832435
140,Twitter for iPhone,13.0,1.0,13.0,10.0,0.989882,0.00990646,0.000134952,7814.0,28210.0,no-entry,Pembroke,0.989882
142,Twitter for iPhone,12.0,1.0,12.0,10.0,0.668613,0.180562,0.0522374,3095.0,14730.0,no-entry,bull_mastiff,0.668613
143,Twitter for iPhone,13.0,1.0,13.0,10.0,0.945905,0.0212636,0.0204928,9113.0,30393.0,no-entry,golden_retriever,0.945905
150,Twitter for iPhone,13.0,1.0,13.0,10.0,0.935804,0.0595762,0.00141218,2510.0,8619.0,no-entry,French_bulldog,0.935804
151,Twitter for iPhone,13.0,1.0,13.0,10.0,0.207281,0.156296,0.123536,5188.0,19354.0,no-entry,Australian_terrier,0.207281
154,Twitter for iPhone,13.0,1.0,13.0,10.0,0.677589,0.270648,0.0381099,23839.0,75423.0,no-entry,chow,0.677589
156,Twitter for iPhone,13.0,1.0,13.0,10.0,0.771008,0.137174,0.0633086,10945.0,36484.0,no-entry,Cardigan,0.771008
162,Twitter for iPhone,13.0,1.0,13.0,10.0,0.286558,0.235193,0.08795069999999999,5409.0,23942.0,no-entry,Bedlington_terrier,0.286558
166,Twitter for iPhone,12.0,1.0,12.0,10.0,0.254587,0.192558,0.10027,4208.0,19810.0,no-entry,French_bulldog,0.254587
168,Twitter for iPhone,13.0,1.0,13.0,10.0,0.8955290000000001,0.0240993,0.0192854,1613.0,18860.0,puppo,golden_retriever,0.8955290000000001
169,Twitter for iPhone,12.0,1.0,12.0,10.0,0.224218,0.216163,0.128383,31099.0,91393.0,no-entry,Angora,0.216163
172,Twitter for iPhone,13.0,1.0,13.0,10.0,0.57812,0.286059,0.0269173,3579.0,15777.0,doggo,golden_retriever,0.57812
173,Twitter for iPhone,13.0,1.0,13.0,10.0,0.987407,0.00872303,0.00342373,5000.0,21850.0,no-entry,Pembroke,0.987407
174,Twitter for iPhone,12.0,1.0,12.0,10.0,0.863874,0.01592,0.0106153,3009.0,15991.0,no-entry,golden_retriever,0.863874
175,Twitter for iPhone,12.0,1.0,12.0,10.0,0.43258,0.325898,0.0426179,2664.0,16391.0,no-entry,French_bulldog,0.43258
176,Twitter for iPhone,13.0,1.0,13.0,10.0,0.919832,0.043513,0.0233588,10985.0,34889.0,no-entry,Labrador_retriever,0.919832
178,Twitter for iPhone,13.0,1.0,13.0,10.0,0.998021,0.000921636,0.000311261,4677.0,20385.0,no-entry,Samoyed,0.998021
181,Twitter for iPhone,12.0,1.0,12.0,10.0,0.968623,0.0103252,0.00414842,4148.0,19307.0,no-entry,golden_retriever,0.968623
183,Twitter for iPhone,12.0,1.0,12.0,10.0,0.30691,0.191218,0.189288,2983.0,16596.0,no-entry,Boston_bull,0.30691
184,Twitter for iPhone,14.0,1.0,14.0,10.0,0.798481,0.0606024,0.0407219,1945.0,12079.0,no-entry,Old_English_sheepdog,0.798481
187,Twitter for iPhone,14.0,1.0,14.0,10.0,0.8765430000000001,0.032961800000000006,0.0207759,6559.0,28310.0,no-entry,Chihuahua,0.8765430000000001
191,Twitter for iPhone,13.0,1.0,13.0,10.0,0.321676,0.115138,0.0960997,18415.0,46407.0,multi-entry,flat-coated_retriever,0.321676
193,Twitter for iPhone,12.0,1.0,12.0,10.0,0.389513,0.18822,0.0826282,8563.0,30640.0,no-entry,Blenheim_spaniel,0.389513
196,Twitter for iPhone,12.0,1.0,12.0,10.0,0.6955479999999999,0.0589017,0.0284106,6380.0,23433.0,no-entry,Pembroke,0.6955479999999999
197,Twitter for iPhone,13.0,1.0,13.0,10.0,0.26024200000000003,0.189158,0.14419500000000002,7182.0,30098.0,no-entry,Chihuahua,0.26024200000000003
198,Twitter for iPhone,13.0,1.0,13.0,10.0,0.90708,0.086272,0.00141323,4898.0,19404.0,no-entry,Pembroke,0.90708
200,Twitter for iPhone,11.0,1.0,11.0,10.0,0.354733,0.177538,0.131706,3302.0,16651.0,multi-entry,English_springer,0.354733
202,Twitter for iPhone,13.0,1.0,13.0,10.0,0.509879,0.237311,0.0469162,10637.0,35926.0,no-entry,German_shepherd,0.509879
205,Twitter for iPhone,12.0,1.0,12.0,10.0,0.7837649999999999,0.114147,0.0464395,1933.0,9337.0,no-entry,Great_Dane,0.7837649999999999
206,Twitter for iPhone,12.0,1.0,12.0,10.0,0.7112350000000001,0.0682347,0.0465617,2269.0,15386.0,no-entry,golden_retriever,0.7112350000000001
213,Twitter for iPhone,11.0,1.0,11.0,10.0,0.394507,0.077254,0.07655880000000001,3665.0,16759.0,no-entry,Cardigan,0.394507
217,Twitter for iPhone,13.0,1.0,13.0,10.0,0.249012,0.166364,0.142254,2770.0,13539.0,no-entry,Yorkshire_terrier,0.249012
219,Twitter for iPhone,11.0,1.0,11.0,10.0,0.7147979999999999,0.10539,0.058552699999999985,4055.0,16940.0,no-entry,tennis_ball,0.10539
220,Twitter for iPhone,12.0,1.0,12.0,10.0,0.759907,0.107405,0.052335300000000015,5190.0,21242.0,pupper,Shetland_sheepdog,0.759907
223,Twitter for iPhone,12.0,1.0,12.0,10.0,0.907559,0.017933900000000003,0.016190700000000002,3330.0,16496.0,no-entry,schipperke,0.907559
226,Twitter for iPhone,12.0,1.0,12.0,10.0,0.8236479999999999,0.100571,0.0383097,4586.0,26228.0,no-entry,flat-coated_retriever,0.8236479999999999
227,Twitter for iPhone,12.0,1.0,12.0,10.0,0.5445760000000001,0.290268,0.154421,4895.0,25768.0,no-entry,malamute,0.5445760000000001
229,Twitter for iPhone,6.0,1.0,6.0,10.0,0.333486,0.245797,0.131647,3272.0,17002.0,no-entry,Bedlington_terrier,0.333486
233,Twitter for iPhone,12.0,1.0,12.0,10.0,0.951337,0.0168491,0.0108492,1431.0,5711.0,no-entry,Bernese_mountain_dog,0.951337
236,Twitter for iPhone,12.0,1.0,12.0,10.0,0.49538,0.316456,0.15853299999999998,4575.0,21326.0,no-entry,Airedale,0.49538
242,Twitter for iPhone,13.0,1.0,13.0,10.0,0.346468,0.21845100000000006,0.10802,9687.0,33139.0,no-entry,giant_schnauzer,0.346468
248,Twitter for iPhone,13.0,1.0,13.0,10.0,0.394404,0.186537,0.181985,1940.0,7982.0,doggo,Dandie_Dinmont,0.394404
249,Twitter for iPhone,12.0,1.0,12.0,10.0,0.567475,0.169496,0.101518,5774.0,24411.0,pupper,Irish_water_spaniel,0.567475
251,Twitter for iPhone,13.0,1.0,13.0,10.0,0.999281,0.00037008,0.000132068,2768.0,14272.0,no-entry,tennis_ball,0.000132068
252,Twitter for iPhone,12.0,1.0,12.0,10.0,0.742421,0.195218,0.017320099999999998,3440.0,15833.0,no-entry,Labrador_retriever,0.742421
253,Twitter for iPhone,13.0,1.0,13.0,10.0,0.980213,0.00701167,0.00314697,11080.0,40575.0,no-entry,Labrador_retriever,0.980213
255,Twitter for iPhone,12.0,1.0,12.0,10.0,0.71951,0.122019,0.0388276,2351.0,14287.0,no-entry,Labrador_retriever,0.71951
258,Twitter for iPhone,11.0,1.0,11.0,10.0,0.430583,0.263581,0.179385,2953.0,17714.0,no-entry,Labrador_retriever,0.430583
261,Twitter for iPhone,13.0,1.0,13.0,10.0,0.461076,0.154946,0.110249,3855.0,15959.0,no-entry,Labrador_retriever,0.461076
263,Twitter for iPhone,13.0,1.0,13.0,10.0,0.685084,0.314608,0.000159824,3759.0,18997.0,no-entry,Pembroke,0.685084
264,Twitter for iPhone,12.0,1.0,12.0,10.0,0.891227,0.022811,0.012852,6230.0,25716.0,no-entry,French_bulldog,0.891227
271,Twitter for iPhone,12.0,1.0,12.0,10.0,0.962985,0.014819999999999996,0.00955711,5709.0,24075.0,no-entry,Brittany_spaniel,0.962985
278,Twitter for iPhone,12.0,1.0,12.0,10.0,0.8639870000000001,0.0526323,0.0325736,6177.0,20299.0,no-entry,Chesapeake_Bay_retriever,0.8639870000000001
279,Twitter for iPhone,13.0,1.0,13.0,10.0,0.604938,0.31154,0.0371591,2474.0,14142.0,no-entry,Staffordshire_bullterrier,0.604938
280,Twitter for iPhone,12.0,1.0,12.0,10.0,0.393527,0.05248,0.0499006,8389.0,28994.0,no-entry,swing,0.05248
293,Twitter for iPhone,12.0,1.0,12.0,10.0,0.887625,0.0687175,0.0303868,8504.0,36082.0,pupper,golden_retriever,0.887625
295,Twitter for iPhone,12.0,1.0,12.0,10.0,0.976255,0.0139902,0.00211054,2483.0,13505.0,no-entry,Norwegian_elkhound,0.976255
297,Twitter for iPhone,13.0,1.0,13.0,10.0,0.767696,0.217079,0.0116568,2595.0,16914.0,pupper,Siberian_husky,0.767696
299,Twitter for iPhone,12.0,1.0,12.0,10.0,0.572422,0.414002,0.005887300000000001,2481.0,13441.0,no-entry,shopping_cart,0.005887300000000001
306,Twitter for iPhone,13.0,1.0,13.0,10.0,0.963558,0.0198476,0.00590434,4654.0,20202.0,no-entry,Samoyed,0.963558
314,Twitter for iPhone,12.0,1.0,12.0,10.0,0.663138,0.15249400000000002,0.0354706,6233.0,27640.0,no-entry,Border_collie,0.663138
317,Twitter for iPhone,13.0,1.0,13.0,10.0,0.156276,0.125912,0.0966239,5931.0,22362.0,no-entry,Border_terrier,0.156276
320,Twitter for iPhone,12.0,1.0,12.0,10.0,0.468619,0.177531,0.106552,1817.0,10185.0,no-entry,Rhodesian_ridgeback,0.468619
321,Twitter for iPhone,12.0,1.0,12.0,10.0,0.754799,0.197861,0.00865404,5200.0,21828.0,no-entry,golden_retriever,0.754799
325,Twitter for iPhone,12.0,1.0,12.0,10.0,0.494969,0.312632,0.141736,2614.0,14200.0,no-entry,kuvasz,0.494969
329,Twitter for iPhone,13.0,1.0,13.0,10.0,0.727039,0.0711398,0.048694199999999986,2248.0,15738.0,no-entry,golden_retriever,0.727039
330,Twitter for iPhone,12.0,1.0,12.0,10.0,0.7105229999999999,0.106102,0.0554755,5255.0,21399.0,pupper,Cardigan,0.7105229999999999
333,Twitter for iPhone,13.0,1.0,13.0,10.0,0.160888,0.159441,0.154368,3945.0,17825.0,no-entry,Cardigan,0.160888
336,Twitter for iPhone,12.0,1.0,12.0,10.0,0.5250319999999999,0.252238,0.216839,3043.0,16810.0,no-entry,Eskimo_dog,0.5250319999999999
337,Twitter for iPhone,12.0,1.0,12.0,10.0,0.988916,0.0016768,0.00112589,2417.0,12669.0,no-entry,Pekinese,0.988916
339,Twitter for iPhone,14.0,1.0,14.0,10.0,0.134081,0.0519278,0.0443109,2535.0,11983.0,doggo,Pembroke,0.134081
348,Twitter for iPhone,13.0,1.0,13.0,10.0,0.6248020000000001,0.362861,0.00392621,1976.0,11080.0,no-entry,Pembroke,0.6248020000000001
349,Twitter for iPhone,13.0,1.0,13.0,10.0,0.530416,0.180335,0.104314,2113.0,7620.0,no-entry,Eskimo_dog,0.530416
350,Twitter for iPhone,13.0,1.0,13.0,10.0,0.257415,0.161442,0.0921429,2501.0,9560.0,no-entry,Chihuahua,0.257415
352,Twitter Web Client,13.0,1.0,13.0,10.0,0.982755,0.00908435,0.0046928,1213.0,6921.0,pupper,briard,0.982755
356,Twitter for iPhone,13.0,1.0,13.0,10.0,0.908703,0.0570909,0.0119335,18389.0,71058.0,no-entry,Labrador_retriever,0.908703
358,Twitter for iPhone,13.0,1.0,13.0,10.0,0.442713,0.142073,0.125745,3284.0,10438.0,no-entry,toy_poodle,0.442713
360,Twitter for iPhone,12.0,1.0,12.0,10.0,0.394486,0.376574,0.0312916,2134.0,12994.0,no-entry,Border_terrier,0.394486
361,Twitter for iPhone,12.0,1.0,12.0,10.0,0.950851,0.0151996,0.0110936,11592.0,33726.0,no-entry,French_bulldog,0.950851
362,Twitter for iPhone,11.0,1.0,11.0,10.0,0.315163,0.15321,0.13279100000000002,2211.0,11119.0,doggo,Labrador_retriever,0.315163
364,Twitter for iPhone,12.0,1.0,12.0,10.0,0.57314,0.111159,0.0941269,8097.0,26062.0,no-entry,golden_retriever,0.57314
365,Twitter for iPhone,13.0,1.0,13.0,10.0,0.312221,0.24404,0.130273,17703.0,56354.0,no-entry,boxer,0.312221
369,Twitter for iPhone,14.0,1.0,14.0,10.0,0.649209,0.19856,0.0561999,1471.0,10107.0,no-entry,golden_retriever,0.649209
377,Twitter for iPhone,11.0,1.0,11.0,10.0,0.936662,0.0329991,0.0171834,2345.0,11033.0,no-entry,American_Staffordshire_terrier,0.936662
380,Twitter for iPhone,13.0,1.0,13.0,10.0,0.32563800000000004,0.317235,0.116087,1037.0,7885.0,no-entry,Pembroke,0.32563800000000004
381,Twitter for iPhone,12.0,1.0,12.0,10.0,0.352486,0.178884,0.08416439999999999,3350.0,16914.0,no-entry,golden_retriever,0.352486
385,Twitter for iPhone,13.0,1.0,13.0,10.0,0.858764,0.0235257,0.017103900000000002,11199.0,38870.0,doggo,Great_Pyrenees,0.858764
390,Twitter for iPhone,11.0,1.0,11.0,10.0,0.903048,0.0962421,0.000234364,2829.0,14144.0,no-entry,French_bulldog,0.903048
394,Twitter for iPhone,12.0,1.0,12.0,10.0,0.8534069999999999,0.0535313,0.045829900000000014,2726.0,13587.0,no-entry,Great_Pyrenees,0.8534069999999999
395,Twitter for iPhone,14.0,1.0,14.0,10.0,0.681495,0.14794000000000002,0.0245252,18849.0,55536.0,puppo,Rottweiler,0.681495
396,Twitter for iPhone,13.0,1.0,13.0,10.0,0.354823,0.24539,0.136545,5009.0,19524.0,no-entry,Pekinese,0.354823
398,Twitter for iPhone,12.0,1.0,12.0,10.0,0.524454,0.467678,0.00497584,1411.0,6770.0,puppo,Eskimo_dog,0.524454
400,Twitter for iPhone,12.0,1.0,12.0,10.0,0.610499,0.0902912,0.0686247,3863.0,15961.0,no-entry,Border_terrier,0.610499
402,Twitter for iPhone,13.0,1.0,13.0,10.0,0.990793,0.00891939,0.000262264,11382.0,12580.0,pupper,Pembroke,0.990793
405,Twitter for iPhone,12.0,1.0,12.0,10.0,0.23407600000000006,0.193093,0.0951966,2974.0,11373.0,no-entry,schipperke,0.23407600000000006
407,Twitter for iPhone,12.0,1.0,12.0,10.0,0.203999,0.17189300000000002,0.107543,2654.0,13432.0,no-entry,cairn,0.203999
408,Twitter for iPhone,11.0,1.0,11.0,10.0,0.280949,0.194044,0.120051,2902.0,13916.0,no-entry,dingo,0.194044
412,Twitter for iPhone,12.0,1.0,12.0,10.0,0.331098,0.24886,0.233162,3778.0,18475.0,no-entry,bathtub,0.233162
416,Twitter for iPhone,12.0,1.0,12.0,10.0,0.6644869999999999,0.075089,0.0596439,3254.0,15787.0,no-entry,cocker_spaniel,0.6644869999999999
419,Twitter for iPhone,11.0,1.0,11.0,10.0,0.585441,0.193654,0.0716476,10832.0,37467.0,no-entry,Samoyed,0.585441
421,Twitter for iPhone,13.0,1.0,13.0,10.0,0.26623800000000003,0.223325,0.151631,2573.0,12151.0,no-entry,golden_retriever,0.26623800000000003
423,Twitter for iPhone,13.0,1.0,13.0,10.0,0.980071,0.00875751,0.00180595,1827.0,9013.0,doggo,golden_retriever,0.980071
428,Twitter for iPhone,12.0,1.0,12.0,10.0,0.515933,0.203651,0.0910551,2210.0,9345.0,no-entry,German_shepherd,0.515933
430,Twitter for iPhone,12.0,1.0,12.0,10.0,0.14802,0.133534,0.120903,2515.0,13560.0,no-entry,Old_English_sheepdog,0.14802
436,Twitter for iPhone,14.0,1.0,14.0,10.0,0.940724,0.0420412,0.00941743,624.0,3573.0,no-entry,Gordon_setter,0.940724
439,Twitter for iPhone,13.0,1.0,13.0,10.0,0.925505,0.0362215,0.020411900000000004,1303.0,5696.0,puppo,American_Staffordshire_terrier,0.925505
442,Twitter for iPhone,13.0,1.0,13.0,10.0,0.5479350000000001,0.116442,0.101681,2165.0,10241.0,no-entry,Cardigan,0.5479350000000001
445,Twitter for iPhone,12.0,1.0,12.0,10.0,0.4824520000000001,0.181082,0.0652566,7357.0,24755.0,no-entry,Border_terrier,0.4824520000000001
449,Twitter for iPhone,14.0,1.0,14.0,10.0,0.351308,0.271929,0.0947592,40368.0,92552.0,doggo,standard_poodle,0.351308
451,Twitter for iPhone,13.0,1.0,13.0,10.0,0.384188,0.255917,0.0797995,8203.0,23796.0,no-entry,Labrador_retriever,0.384188
454,Twitter for iPhone,11.0,1.0,11.0,10.0,0.999403,6.229489999999999e-05,3.04619e-05,2731.0,11709.0,no-entry,swing,6.229489999999999e-05
456,Twitter for iPhone,12.0,1.0,12.0,10.0,0.367368,0.112479,0.095434,2524.0,11821.0,no-entry,miniature_schnauzer,0.367368
464,Twitter for iPhone,11.0,1.0,11.0,10.0,0.806163,0.0973859,0.0859928,1062.0,6035.0,no-entry,Doberman,0.806163
466,Twitter for iPhone,13.0,1.0,13.0,10.0,0.295483,0.144431,0.07787899999999999,2213.0,9368.0,no-entry,golden_retriever,0.295483
467,Twitter for iPhone,13.0,1.0,13.0,10.0,0.568809,0.229352,0.15713,2891.0,13059.0,no-entry,Saluki,0.568809
468,Twitter for iPhone,11.0,1.0,11.0,10.0,0.8644149999999999,0.0974556,0.00852587,1819.0,9201.0,no-entry,kelpie,0.8644149999999999
470,Twitter for iPhone,12.0,1.0,12.0,10.0,0.668164,0.105033,0.077875,2244.0,10723.0,no-entry,malamute,0.668164
473,Twitter for iPhone,11.0,1.0,11.0,10.0,0.91933,0.0494795,0.0119342,2157.0,9231.0,no-entry,Labrador_retriever,0.91933
474,Twitter for iPhone,12.0,1.0,12.0,10.0,0.967345,0.00739748,0.0060165,2375.0,9587.0,no-entry,Pomeranian,0.967345
478,Twitter for iPhone,13.0,1.0,13.0,10.0,0.506312,0.29569,0.0362507,9388.0,24115.0,pupper,Tibetan_mastiff,0.506312
480,Twitter for iPhone,11.0,1.0,11.0,10.0,0.5489069999999999,0.17852300000000002,0.146351,2503.0,10566.0,no-entry,Border_collie,0.5489069999999999
483,Twitter for iPhone,11.0,1.0,11.0,10.0,0.999828,6.78061e-05,3.42436e-05,1428.0,8208.0,pupper,dalmatian,0.999828
