carat,cut,cut_ord,color,clarity,clarity_ord,price,bid
1.03,Premium,4,E,VS2,5,6298.789999999999,4409.152999999999
0.53,Very Good,3,F,SI1,3,1026.1900000000003,718.3330000000002
1.0,Good,2,F,I1,1,3914.2,2739.9399999999996
0.8,Very Good,3,F,VS1,4,3751.7000000000007,2626.1900000000005
1.25,Good,2,I,SI2,2,6471.45,4530.014999999999
0.5,Very Good,3,E,SI1,3,773.8,541.66
0.56,Ideal,5,D,VS2,5,2502.7800000000007,1751.9460000000004
0.46,Ideal,5,J,VS2,5,1661.48,1163.0359999999998
2.1,Premium,4,H,SI2,2,13938.699999999999,9757.089999999998
0.77,Ideal,5,D,SI1,3,3361.51,2353.057
0.53,Premium,4,H,VS2,5,2092.2900000000004,1464.6030000000003
0.75,Very Good,3,F,VS1,4,3331.05,2331.735
0.41,Premium,4,F,VVS2,6,1536.73,1075.711
0.41,Ideal,5,G,VVS1,7,2148.83,1504.1809999999998
0.51,Ideal,5,D,VS2,5,2082.13,1457.491
0.34,Premium,4,G,VS2,5,493.82000000000016,345.6740000000001
0.51,Ideal,5,E,SI2,2,720.1300000000001,504.09100000000007
0.3,Premium,4,H,SI1,3,-750.6999999999998,-525.4899999999999
1.5,Good,2,G,SI2,2,8574.7,6002.29
1.01,Very Good,3,F,SI2,2,4610.429999999999,3227.3009999999995
1.1,Ideal,5,G,VS1,4,6591.800000000001,4614.26
0.5,Good,2,D,SI1,3,615.7,430.99
1.0,Good,2,E,VVS2,6,6184.2,4328.94
1.22,Ideal,5,J,VS1,4,7601.360000000001,5320.952
1.51,Ideal,5,H,SI2,2,9133.13,6393.190999999999
0.31,Ideal,5,E,VVS1,7,1307.5300000000002,915.2710000000001
0.95,Premium,4,E,SI2,2,4263.75,2984.625
1.06,Very Good,3,I,SI2,2,5031.080000000001,3521.7560000000003
1.39,Premium,4,E,VS2,5,9327.47,6529.228999999999
1.01,Very Good,3,H,VS2,5,5972.429999999999,4180.700999999999
0.72,Premium,4,D,SI1,3,2782.7599999999998,1947.9319999999998
0.51,Premium,4,D,VS1,4,1470.0300000000002,1029.0210000000002
1.5,Very Good,3,D,SI2,2,8732.8,6112.959999999999
0.7,Premium,4,G,VVS1,7,4430.5,3101.35
1.01,Premium,4,H,SI2,2,4768.529999999999,3337.970999999999
0.3,Ideal,5,I,SI1,3,-592.5999999999999,-414.81999999999994
1.29,Premium,4,F,SI1,3,7578.17,5304.719
1.01,Very Good,3,F,VS2,5,5972.429999999999,4180.700999999999
0.33,Ideal,5,I,VS2,5,567.79,397.453
1.53,Premium,4,H,SI2,2,9143.289999999999,6400.302999999999
0.85,Premium,4,D,SI2,2,3422.4500000000003,2395.715
0.33,Ideal,5,G,VS2,5,567.79,397.453
0.6,Ideal,5,D,VVS1,7,3747.3,2623.11
0.63,Premium,4,I,VS1,4,2479.5899999999997,1735.7129999999997
1.04,Premium,4,G,SI2,2,5020.92,3514.644
2.01,Very Good,3,H,SI2,2,13023.429999999997,9116.400999999996
0.71,Premium,4,E,SI1,3,2698.6299999999997,1889.0409999999997
0.3,Very Good,3,G,VVS2,6,453.1999999999998,317.23999999999984
1.74,Ideal,5,J,VS1,4,11976.12,8383.284
1.06,Ideal,5,E,SI1,3,5801.280000000001,4060.896
0.7,Fair,1,G,SI1,3,2140.1999999999994,1498.1399999999994
1.52,Very Good,3,G,VS2,5,10263.060000000001,7184.142000000001
0.41,Ideal,5,F,VS2,5,1240.83,868.5809999999999
1.22,Ideal,5,G,VS1,4,7601.360000000001,5320.952
0.37,Premium,4,E,SI1,3,-161.78999999999996,-113.25299999999997
0.3,Premium,4,H,SI1,3,-750.6999999999998,-525.4899999999999
0.54,Premium,4,E,SI1,3,1268.4200000000005,887.8940000000003
0.37,Ideal,5,E,VS2,5,904.31,633.0169999999999
1.5,Premium,4,E,VVS2,6,10706.9,7494.829999999999
0.62,Very Good,3,G,VS2,5,2691.3600000000006,1883.9520000000002
1.33,Premium,4,H,SI2,2,7460.6900000000005,5222.483
1.51,Very Good,3,J,SI2,2,8816.93,6171.851
0.31,Ideal,5,H,VVS1,7,1307.5300000000002,915.2710000000001
0.38,Ideal,5,G,SI2,2,-373.55999999999995,-261.49199999999996
0.31,Ideal,5,I,VS1,4,-54.4699999999998,-38.128999999999856
0.34,Premium,4,G,VVS2,6,947.8200000000002,663.474
0.75,Good,2,E,SI2,2,2264.95,1585.4649999999997
0.28,Very Good,3,F,VVS2,6,284.9400000000005,199.45800000000034
1.23,Very Good,3,G,SI2,2,6461.29,4522.902999999999
0.75,Good,2,E,SI1,3,2718.95,1903.2649999999996
1.11,Ideal,5,H,VVS2,6,7583.93,5308.751
2.07,Very Good,3,I,SI1,3,13982.21,9787.546999999999
1.0,Premium,4,D,SI1,3,5138.4,3596.8799999999997
0.79,Ideal,5,F,SI1,3,3529.7700000000004,2470.839
0.31,Ideal,5,G,VS1,4,-54.4699999999998,-38.128999999999856
0.31,Premium,4,I,VVS1,7,1149.4300000000003,804.6010000000001
1.0,Ideal,5,H,SI1,3,5296.5,3707.5499999999997
0.41,Premium,4,G,VS1,4,628.73,440.111
0.51,Premium,4,E,SI1,3,1016.0300000000001,711.221
1.91,Very Good,3,F,SI1,3,12636.13,8845.291
1.19,Very Good,3,E,VS2,5,7486.7699999999995,5240.739
0.32,Premium,4,F,VVS1,7,1233.56,863.492
0.55,Ideal,5,F,SI2,2,1056.6500000000005,739.6550000000003
0.32,Ideal,5,F,IF,8,1845.6599999999999,1291.9619999999998
1.09,Ideal,5,G,SI2,2,5599.67,3919.769
0.9,Very Good,3,I,VVS1,7,5955.0,4168.5
0.74,Ideal,5,E,VS2,5,4017.12,2811.984
0.9,Very Good,3,G,VS2,5,5047.0,3532.8999999999996
0.76,Ideal,5,D,VS1,4,3731.38,2611.966
0.73,Ideal,5,D,SI2,2,2570.99,1799.6929999999998
0.52,Good,2,G,SI1,3,783.9600000000003,548.7720000000002
0.73,Premium,4,E,SI1,3,2866.89,2006.8229999999999
0.76,Premium,4,I,VS2,5,4027.28,2819.096
0.48,Good,2,F,VS1,4,901.4399999999998,631.0079999999998
1.5,Fair,1,D,SI1,3,8870.6,6209.42
0.37,Very Good,3,F,SI1,3,-319.8900000000001,-223.92300000000006
0.43,Premium,4,E,VS2,5,1250.9900000000002,875.6930000000001
0.58,Ideal,5,E,VVS2,6,3125.04,2187.528
1.01,Ideal,5,D,SI1,3,5380.629999999999,3766.4409999999993
0.28,Ideal,5,H,VS1,4,-306.8599999999997,-214.80199999999977
0.53,Very Good,3,G,VS1,4,1480.1900000000003,1036.133
0.9,Very Good,3,I,VS2,5,5047.0,3532.8999999999996
0.3,Ideal,5,F,VVS1,7,1223.4,856.38
1.51,Premium,4,D,SI2,2,8975.029999999999,6282.520999999999
1.01,Premium,4,G,SI2,2,4768.529999999999,3337.970999999999
0.31,Ideal,5,F,VS2,5,399.5300000000002,279.6710000000001
0.66,Ideal,5,D,VS2,5,3344.08,2340.8559999999998
0.56,Premium,4,D,SI1,3,1436.6800000000007,1005.6760000000005
0.28,Very Good,3,E,VVS2,6,284.9400000000005,199.45800000000034
0.55,Ideal,5,F,SI2,2,1056.6500000000005,739.6550000000003
0.29,Ideal,5,G,IF,8,1593.27,1115.289
0.36,Ideal,5,E,VS1,4,366.17999999999984,256.32599999999985
0.31,Ideal,5,D,SI1,3,-508.4699999999998,-355.92899999999986
0.58,Very Good,3,G,VVS2,6,2808.84,1966.1879999999999
0.4,Premium,4,D,SI2,2,-363.39999999999964,-254.37999999999974
0.29,Ideal,5,I,VS1,4,-222.73000000000002,-155.911
0.62,Very Good,3,E,VS1,4,2237.3600000000006,1566.1520000000003
0.73,Ideal,5,E,SI2,2,2570.99,1799.6929999999998
2.01,Very Good,3,J,SI2,2,13023.429999999997,9116.400999999996
0.7,Very Good,3,G,I1,1,1548.3999999999994,1083.8799999999994
0.54,Good,2,D,SI2,2,498.2200000000004,348.7540000000003
0.3,Fair,1,D,VVS2,6,137.0,95.89999999999999
0.38,Ideal,5,H,VVS1,7,1896.44,1327.508
0.7,Premium,4,G,VS1,4,3068.4999999999995,2147.9499999999994
0.82,Ideal,5,E,SI2,2,3328.16,2329.7119999999995
0.41,Ideal,5,E,VVS2,6,1694.83,1186.3809999999999
0.64,Ideal,5,G,IF,8,4537.82,3176.4739999999997
1.01,Very Good,3,H,VS1,4,5518.429999999999,3862.9009999999994
0.58,Very Good,3,I,VS2,5,2354.84,1648.388
0.34,Ideal,5,D,VS1,4,197.92000000000007,138.54400000000004
0.85,Ideal,5,E,VS1,4,4488.55,3141.985
0.91,Good,2,G,SI2,2,3611.0299999999997,2527.7209999999995
0.91,Premium,4,G,SI2,2,3927.23,2749.0609999999997
0.5,Fair,1,E,VS2,5,1365.6,955.9199999999998
1.0,Premium,4,F,VS2,5,6046.4,4232.48
1.5,Very Good,3,G,SI1,3,9186.8,6430.759999999999
1.26,Ideal,5,H,VS1,4,7937.879999999999,5556.515999999999
0.35,Premium,4,D,SI2,2,-784.0500000000002,-548.835
1.09,Premium,4,I,VS2,5,6803.57,4762.499
0.3,Ideal,5,F,VS2,5,315.4000000000001,220.78000000000006
0.27,Ideal,5,E,VS1,4,-390.9899999999998,-273.6929999999998
0.32,Ideal,5,E,VVS2,6,937.6599999999999,656.3619999999999
1.09,Premium,4,I,VS1,4,6349.57,4444.699
0.4,Premium,4,F,SI1,3,90.60000000000036,63.42000000000025
1.04,Ideal,5,E,VVS2,6,6995.02,4896.514
0.51,Premium,4,E,VS2,5,1924.0300000000002,1346.8210000000001
0.73,Ideal,5,H,SI1,3,3024.99,2117.493
1.01,Good,2,H,SI2,2,4452.329999999999,3116.630999999999
1.34,Ideal,5,G,VS2,5,9064.92,6345.4439999999995
0.52,Ideal,5,G,VVS2,6,2620.26,1834.182
1.21,Good,2,H,VS1,4,7042.929999999999,4930.0509999999995
0.35,Ideal,5,F,VS1,4,282.0499999999997,197.4349999999998
0.7,Ideal,5,G,VVS2,6,4134.599999999999,2894.2199999999993
0.7,Premium,4,G,SI1,3,2614.4999999999995,1830.1499999999996
0.42,Very Good,3,G,SI1,3,100.75999999999999,70.53199999999998
0.38,Premium,4,D,SI2,2,-531.6599999999999,-372.16199999999986
0.3,Ideal,5,G,VS1,4,-138.5999999999999,-97.01999999999992
0.91,Premium,4,F,SI2,2,3927.23,2749.0609999999997
1.11,Premium,4,G,SI1,3,6063.83,4244.681
0.3,Good,2,G,IF,8,1203.1,842.1699999999998
0.32,Ideal,5,F,VVS1,7,1391.6599999999999,974.1619999999998
0.42,Ideal,5,F,VS2,5,1324.96,927.472
0.54,Ideal,5,G,VVS2,6,2788.5200000000004,1951.9640000000002
2.03,Very Good,3,I,VS2,5,14553.689999999999,10187.582999999999
0.4,Good,2,F,VS2,5,682.4000000000003,477.6800000000002
0.57,Premium,4,H,VS1,4,1974.81,1382.367
0.72,Ideal,5,J,VVS1,7,4756.86,3329.8019999999997
1.3,Premium,4,I,SI1,3,7662.299999999999,5363.609999999999
1.01,Premium,4,E,VS2,5,6130.529999999999,4291.370999999999
0.39,Ideal,5,G,SI2,2,-289.42999999999984,-202.60099999999989
0.43,Ideal,5,F,VVS2,6,1863.0900000000001,1304.163
0.77,Premium,4,I,SI1,3,3203.4100000000003,2242.387
0.53,Ideal,5,F,VVS1,7,3158.3900000000003,2210.873
0.65,Very Good,3,I,IF,8,4305.75,3014.0249999999996
0.33,Premium,4,D,SI2,2,-952.31,-666.617
1.02,Premium,4,F,SI2,2,4852.66,3396.8619999999996
0.31,Premium,4,G,VVS1,7,1149.4300000000003,804.6010000000001
0.36,Ideal,5,F,SI1,3,-87.82000000000016,-61.47400000000011
0.3,Very Good,3,H,VVS1,7,907.1999999999998,635.0399999999998
0.9,Very Good,3,H,SI2,2,3685.0,2579.5
1.05,Ideal,5,G,SI1,3,5717.15,4002.0049999999997
1.5,Good,2,D,SI2,2,8574.7,6002.29
0.9,Very Good,3,H,VS1,4,4593.0,3215.1
0.72,Very Good,3,E,SI1,3,2624.66,1837.2619999999997
0.42,Premium,4,G,VS2,5,1166.8600000000001,816.802
0.53,Premium,4,I,VVS1,7,3000.2900000000004,2100.203
0.51,Very Good,3,F,SI1,3,857.9300000000001,600.551
0.51,Ideal,5,H,VS2,5,2082.13,1457.491
0.86,Premium,4,F,SI2,2,3506.5800000000004,2454.606
1.51,Premium,4,H,SI1,3,9429.029999999999,6600.320999999999
0.37,Ideal,5,F,VS1,4,450.30999999999995,315.2169999999999
0.56,Premium,4,D,SI1,3,1436.6800000000007,1005.6760000000005
1.59,Premium,4,I,VS2,5,11010.07,7707.048999999999
0.73,Ideal,5,H,SI1,3,3024.99,2117.493
0.31,Ideal,5,F,IF,8,1761.5300000000002,1233.0710000000001
0.4,Very Good,3,F,SI1,3,-67.49999999999977,-47.24999999999984
0.52,Ideal,5,F,VS2,5,2166.26,1516.382
1.04,Premium,4,H,SI1,3,5474.92,3832.444
1.0,Ideal,5,J,VS1,4,5750.5,4025.35
0.78,Ideal,5,F,SI1,3,3445.6400000000003,2411.948
0.76,Ideal,5,J,SI1,3,3277.38,2294.1659999999997
0.71,Premium,4,E,VS2,5,3606.6299999999997,2524.6409999999996
0.9,Ideal,5,G,SI2,2,4001.2,2800.8399999999997
1.01,Very Good,3,E,SI2,2,4610.429999999999,3227.3009999999995
0.81,Very Good,3,G,SI2,2,2927.830000000001,2049.4810000000007
0.36,Ideal,5,F,VVS2,6,1274.1799999999998,891.9259999999998
0.61,Ideal,5,I,SI2,2,1561.4300000000003,1093.0010000000002
0.51,Ideal,5,E,VS2,5,2082.13,1457.491
0.24,Ideal,5,E,VVS2,6,264.6199999999999,185.23399999999992
0.52,Ideal,5,H,IF,8,3528.26,2469.782
1.0,Premium,4,H,SI2,2,4684.4,3279.0799999999995
0.31,Ideal,5,H,VVS2,6,853.5300000000002,597.4710000000001
1.08,Premium,4,H,VS1,4,6265.4400000000005,4385.808
0.7,Good,2,D,VS2,5,3206.2999999999993,2244.4099999999994
0.3,Very Good,3,F,VVS1,7,907.1999999999998,635.0399999999998
0.3,Ideal,5,H,SI1,3,-592.5999999999999,-414.81999999999994
0.7,Very Good,3,G,VS2,5,3364.3999999999996,2355.0799999999995
0.72,Ideal,5,E,SI2,2,2486.8599999999997,1740.8019999999997
0.3,Ideal,5,H,VVS1,7,1223.4,856.38
0.76,Premium,4,F,SI1,3,3119.28,2183.496
0.41,Very Good,3,D,SI1,3,16.62999999999988,11.640999999999917
0.41,Premium,4,E,SI1,3,174.73000000000002,122.311
0.4,Very Good,3,D,SI2,2,-521.4999999999998,-365.04999999999984
1.54,Good,2,E,SI1,3,9365.220000000001,6555.654
0.55,Ideal,5,E,VVS2,6,2872.6500000000005,2010.8550000000002
0.57,Ideal,5,H,SI1,3,1678.9099999999999,1175.2369999999999
0.53,Ideal,5,E,VS2,5,2250.3900000000003,1575.2730000000001
0.33,Very Good,3,E,VS2,5,251.58999999999992,176.11299999999994
1.53,Premium,4,D,SI2,2,9143.289999999999,6400.302999999999
0.52,Ideal,5,H,SI1,3,1258.2600000000002,880.7820000000002
1.01,Very Good,3,F,VVS1,7,6880.429999999999,4816.3009999999995
0.91,Very Good,3,D,SI1,3,4223.13,2956.191
0.54,Premium,4,F,VS2,5,2176.4200000000005,1523.4940000000004
0.53,Premium,4,H,SI1,3,1184.2900000000004,829.0030000000003
1.02,Premium,4,G,VS2,5,6214.66,4350.262
0.3,Premium,4,H,VS1,4,-296.6999999999998,-207.68999999999986
2.05,Ideal,5,H,SI2,2,13676.149999999998,9573.304999999998
0.3,Premium,4,D,VS2,5,157.30000000000018,110.11000000000013
0.3,Premium,4,H,VS1,4,-296.6999999999998,-207.68999999999986
0.9,Very Good,3,J,VS1,4,4593.0,3215.1
2.25,Ideal,5,I,SI2,2,15358.75,10751.125
0.42,Ideal,5,G,VVS1,7,2232.96,1563.072
0.7,Good,2,F,SI2,2,1844.2999999999995,1291.0099999999995
1.2,Very Good,3,I,SI1,3,6662.900000000001,4664.03
1.52,Premium,4,G,SI1,3,9513.16,6659.2119999999995
0.33,Ideal,5,G,VVS1,7,1475.79,1033.0529999999999
1.21,Premium,4,J,VVS2,6,8267.13,5786.990999999999
0.23,Very Good,3,E,VVS2,6,-135.71000000000004,-94.99700000000001
0.31,Ideal,5,H,VVS2,6,853.5300000000002,597.4710000000001
0.5,Ideal,5,F,SI1,3,1090.0,763.0
1.01,Very Good,3,H,SI1,3,5064.429999999999,3545.100999999999
0.76,Ideal,5,H,VS2,5,4185.38,2929.766
0.31,Premium,4,E,VVS2,6,695.4300000000003,486.80100000000016
1.77,Ideal,5,D,SI2,2,11320.51,7924.357
0.4,Very Good,3,G,SI1,3,-67.49999999999977,-47.24999999999984
0.51,Very Good,3,G,VS2,5,1765.93,1236.151
0.54,Ideal,5,F,VVS1,7,3242.5200000000004,2269.764
0.3,Ideal,5,F,SI1,3,-592.5999999999999,-414.81999999999994
1.06,Ideal,5,I,SI2,2,5347.280000000001,3743.096
0.81,Ideal,5,F,VS1,4,4152.030000000001,2906.4210000000003
0.58,Ideal,5,D,SI1,3,1763.04,1234.128
0.53,Good,2,H,SI1,3,868.0900000000004,607.6630000000002
0.3,Very Good,3,E,SI1,3,-908.8000000000002,-636.1600000000001
1.09,Premium,4,F,SI1,3,5895.57,4126.898999999999
1.17,Ideal,5,I,SI2,2,6272.709999999999,4390.896999999999
1.53,Ideal,5,I,VS2,5,10663.39,7464.372999999999
1.03,Good,2,E,SI2,2,4620.589999999999,3234.412999999999
0.35,Premium,4,I,SI1,3,-330.0500000000002,-231.0350000000001
1.0,Very Good,3,D,VS2,5,5888.3,4121.8099999999995
2.01,Premium,4,G,SI2,2,13181.529999999997,9227.070999999998
0.32,Premium,4,G,VS1,4,-128.44000000000005,-89.90800000000003
1.01,Ideal,5,F,SI2,2,4926.629999999999,3448.640999999999
0.4,Very Good,3,D,VS2,5,840.5000000000002,588.3500000000001
1.12,Premium,4,D,SI2,2,5693.960000000001,3985.7720000000004
1.24,Very Good,3,H,VVS2,6,8361.420000000002,5852.994000000001
0.52,Ideal,5,E,VS2,5,2166.26,1516.382
0.82,Very Good,3,F,VVS2,6,4827.96,3379.5719999999997
1.05,Good,2,G,SI2,2,4788.849999999999,3352.1949999999993
1.0,Very Good,3,F,VS2,5,5888.3,4121.8099999999995
0.81,Very Good,3,J,SI1,3,3381.830000000001,2367.2810000000004
1.02,Very Good,3,E,VS1,4,5602.56,3921.792
0.75,Fair,1,J,VS1,4,3014.85,2110.395
0.4,Very Good,3,D,SI2,2,-521.4999999999998,-365.04999999999984
2.04,Premium,4,F,SI2,2,13433.92,9403.743999999999
0.52,Ideal,5,E,VS2,5,2166.26,1516.382
0.8,Very Good,3,F,VS2,5,4205.700000000001,2943.9900000000002
1.01,Very Good,3,F,VS1,4,5518.429999999999,3862.9009999999994
0.43,Premium,4,E,SI1,3,342.9900000000001,240.09300000000007
1.13,Premium,4,G,VVS1,7,8048.089999999998,5633.662999999999
0.4,Ideal,5,F,IF,8,2518.7000000000003,1763.0900000000001
1.05,Premium,4,G,VS1,4,6013.049999999999,4209.134999999999
0.41,Good,2,E,VS2,5,766.53,536.5709999999999
1.01,Ideal,5,G,VS2,5,6288.629999999999,4402.040999999999
0.7,Fair,1,G,SI1,3,2140.1999999999994,1498.1399999999994
0.55,Ideal,5,G,VVS1,7,3326.6500000000005,2328.655
0.53,Ideal,5,E,VS2,5,2250.3900000000003,1575.2730000000001
1.16,Ideal,5,F,VS2,5,7550.58,5285.406
0.3,Ideal,5,F,VS1,4,-138.5999999999999,-97.01999999999992
0.7,Ideal,5,F,VS2,5,3680.5999999999995,2576.4199999999996
0.33,Very Good,3,F,VVS2,6,705.5899999999999,493.9129999999999
0.71,Premium,4,E,VS2,5,3606.6299999999997,2524.6409999999996
0.71,Premium,4,E,VS1,4,3152.6299999999997,2206.8409999999994
0.33,Ideal,5,G,IF,8,1929.79,1350.8529999999998
1.58,Ideal,5,I,SI1,3,10176.04,7123.228
